remaining_hours,created_hours_ago,distance_km,travel_hours,slack_hours,feasibility_ratio,perishability_risk,ideal_window,service_value,estimated_meals,quantity_confidence,demand_pressure,nearby_density,type_density,ngo_success_rate,ngo_open_load,ngo_performance,ngo_verified,donor_reliability,target_priority,pickup_success_probability
0.48,0.64,4.02,0.16,-0.51,0.94,1.0,2.0,0.95,160.81,0.59,0.451,1,2,0.566,0.505,0.415,0.0,0.801,64.6,0.393
6.92,7.13,0.12,0.0,6.08,19.77,0.35,8.0,0.55,62.56,0.62,0.959,11,2,0.499,0.097,0.892,1.0,0.858,60.5,0.616
1.23,2.62,11.32,0.42,0.25,1.6,0.35,8.0,0.55,36.23,0.58,0.678,10,2,0.903,0.866,0.62,1.0,0.75,52.1,0.472
5.14,3.1,12.3,0.66,3.69,5.09,0.82,4.0,1.0,97.08,0.66,0.489,9,11,0.815,0.22,0.588,0.0,0.494,51.1,0.405
0.96,6.03,10.21,0.41,0.12,1.26,0.58,6.0,0.88,90.86,0.95,0.661,5,5,0.524,0.745,0.713,1.0,0.916,65.7,0.541
3.99,0.45,0.85,0.04,3.17,10.23,0.82,4.0,1.0,142.99,0.74,0.11,13,10,0.978,0.529,0.963,0.0,0.779,64.3,0.525
7.38,2.28,5.28,0.27,6.86,11.9,0.58,6.0,0.88,130.53,0.87,0.973,6,9,0.934,0.871,0.573,0.0,0.446,48.0,0.349
3.43,1.1,2.01,0.09,2.25,7.8,1.0,2.0,0.95,145.61,0.66,0.279,3,2,0.838,0.816,0.967,0.0,0.431,56.7,0.394
5.18,4.02,17.36,0.64,3.65,5.23,0.58,6.0,0.88,124.8,0.87,0.429,12,8,0.927,0.451,0.544,0.0,0.563,51.5,0.379
0.4,3.13,1.06,0.06,0.06,0.98,0.82,4.0,1.0,60.82,0.78,0.315,16,4,0.736,0.723,0.912,1.0,0.503,80.3,0.598
0.85,0.98,7.62,0.34,-0.36,1.23,1.0,2.0,0.95,121.86,0.99,0.143,13,12,0.63,0.862,0.544,0.0,0.688,45.9,0.26
3.14,8.13,7.98,0.3,2.12,4.83,0.35,8.0,0.55,11.0,1.0,0.844,3,4,0.538,0.486,0.524,1.0,0.919,49.2,0.467
3.31,6.91,8.19,0.37,1.88,4.6,0.35,8.0,0.55,179.19,0.8,0.732,5,4,0.607,0.969,0.736,0.0,0.821,42.1,0.348
0.76,2.26,15.32,0.82,-0.37,0.65,0.82,4.0,1.0,155.4,0.73,0.945,8,10,0.765,0.619,0.643,1.0,0.939,61.4,0.536
2.25,0.62,11.62,0.51,0.7,2.62,0.82,4.0,1.0,168.56,0.55,0.64,4,2,0.735,0.506,0.477,1.0,0.905,70.8,0.605
3.48,2.41,5.45,0.2,2.34,6.33,0.82,4.0,1.0,96.15,0.85,0.577,4,3,0.59,0.89,0.831,0.0,0.522,54.9,0.406
5.27,3.76,9.1,0.44,3.81,6.67,0.82,4.0,1.0,11.04,0.84,0.838,2,1,0.627,0.131,0.968,0.0,0.817,54.5,0.469
0.93,2.08,12.44,0.64,0.01,0.94,1.0,2.0,0.95,67.72,0.8,0.458,2,5,0.643,0.933,0.964,0.0,0.916,57.9,0.39
2.17,1.25,15.74,0.57,0.71,2.36,1.0,2.0,0.95,166.79,0.66,0.204,6,7,0.463,0.737,0.593,1.0,0.855,64.0,0.6
1.81,4.64,6.89,0.37,0.79,2.51,0.58,6.0,0.88,37.52,0.96,0.382,8,4,0.463,0.193,0.59,0.0,0.959,58.8,0.519
7.93,7.43,5.96,0.33,6.6,11.66,0.35,8.0,0.55,48.5,0.81,0.984,2,2,0.766,0.346,0.856,1.0,0.732,49.6,0.513
